timestamp,HR,MAP,SpO2,Temp,RR
0,75.99,86.66,98.59,37.03,15.33
1,74.72,88.11,97.06,36.92,15.29
2,76.3,87.17,97.84,37.07,17.43
3,78.05,88.36,97.98,36.94,17.86
4,74.53,89.36,98.01,37.07,15.07
5,74.53,92.51,98.09,36.97,15.33
6,78.16,89.04,98.31,36.83,17.14
7,76.53,85.24,97.98,36.9,16.53
8,74.06,93.42,97.82,36.96,16.68
9,76.09,87.49,97.8,37.14,16.9
10,74.07,89.82,97.69,37.09,15.76
11,74.07,91.34,98.39,37.16,16.33
12,75.48,90.6,97.68,37.17,16.25
13,71.17,93.28,98.42,36.95,15.14
14,71.55,91.44,98.01,36.98,16.32
15,73.88,87.42,97.74,36.96,17.24
16,72.97,96.54,98.31,36.93,15.67
17,75.63,90.58,97.64,36.82,16.15
18,73.18,89.56,98.32,37.0,16.21
19,72.18,92.89,98.11,36.87,15.72
20,77.93,90.75,97.7,37.0,16.68
21,74.55,91.2,98.26,37.21,15.32
22,75.14,97.48,98.27,36.95,17.33
23,72.15,89.17,98.58,37.02,16.63
24,73.91,89.05,98.48,37.09,15.06
25,75.22,90.35,98.25,37.03,17.7
26,72.7,93.21,97.44,37.03,16.17
27,75.75,85.48,99.22,36.96,15.28
28,73.8,84.1,97.3,36.98,17.1
29,74.42,88.24,98.47,36.9,16.49
30,73.8,85.1,98.22,37.08,14.23
31,78.7,88.73,97.41,36.83,15.47
32,74.97,91.51,97.94,37.1,16.28
33,72.88,87.33,97.96,36.86,13.84
34,76.65,85.72,98.65,37.1,16.09
35,72.56,90.21,97.64,36.96,16.16
36,75.42,92.59,97.87,36.88,14.82
37,71.08,84.92,96.83,37.06,16.27
38,72.34,92.46,98.87,37.09,16.01
39,75.39,92.45,97.46,36.96,14.81
40,76.48,92.86,98.16,37.07,16.92
41,75.34,93.66,97.95,36.77,16.84
42,74.77,96.61,97.95,36.87,15.71
43,74.4,88.93,98.4,37.13,15.8
44,72.04,90.33,98.84,36.98,16.73
45,73.56,88.75,98.13,36.81,15.8
46,74.08,90.01,98.33,36.93,14.07
47,77.11,94.6,98.16,36.91,16.49
48,75.69,85.96,98.51,36.98,15.19
49,71.47,87.42,97.77,36.96,15.61
50,75.65,94.13,98.54,37.02,17.46
